StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,X1.prior_1,X1.prior_2,X1.post_1,X1.post_2,X1.lk_1_1,X1.lk_2_1,c1.self,Q34_4,Q35_1,Q36_1,Q36_4,Q36_5,Q36_6,Q36_7,Q37_1,Q37_4,Q37_5,Q37_6,Q37_7,Q38_1,Q38_4,Q39_1,Q39_4,Q40_1,Q40_4,Q41_1,Q41_4,Q42_1,Q42_4,Q43_1,Q43_6,Q43_7,Q43_8,Q43_9,Q44_1,Q44_6,Q44_7,Q44_8,Q44_9,Q45_1,Q45_4,Q45_5,Q45_6,Q45_7,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q57,Q58,Q59,Q60,Q61,c1.intel,c1.acc,c1.fair,c1.just,c1.free,X2.prior_1,X2.prior_2,X2.post_1,X2.post_2,X2.lk_1_1,X2.lk_2_1,c2.self,c2.intel,c2.acc,c2.fair,c2.just,c2.free,attn,lookup,age,gender,gender_4_TEXT,education,fback
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant. 
But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100% (don't worry about doing the math, once you enter your first value, the second slider will only allow you to enter enough so that they both add up to 100). - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","Imagine a man and a woman who both work for the same airline in the United States.

One of these two people is a pilot. The other person is a flight attendant. 
But you don't know which person has which job.

Please guess the answers to both questions below. Make sure your answers add up to 100% (don't worry about doing the math, once you enter your first value, the second slider will only allow you to enter enough so that they both add up to 100). - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess. The man recently communicated with air traffic control during a flight.
Once again, please answer both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess. The man recently communicated with air traffic control during a flight.
Once again, please answer both questions below. Make sure your answers add up to 100%. - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","Please guess the answer to the question below. Remember to just tell us what you think! Tell us what you think by clicking on the slider and dragging it to the answer you'd like to give. 

In the United States, what percentage of male pilots communicate with air traffic control during a flight?","Please guess the answer to the question below. Remember to just tell us what you think! Tell us what you think by clicking on the slider and dragging it to the answer you'd like to give. 
In the United States, what percentage of male flight attendants communicate with air traffic control during a flight?","A man recently performed a surgery on a patient. 
A woman recently performed surgery on a patient. 
Which of the following statements do you agree with?","In the United States, what percentage of households have at least one dog?","In the United States, what percentage of households have at least one cat?",A household in the United States has just obtained a dog. What is the percentage chance that the dog came from each of the following sources? Make sure your answers add up to 100%. - From an animal shelter/humane society,A household in the United States has just obtained a dog. What is the percentage chance that the dog came from each of the following sources? Make sure your answers add up to 100%. - From friends/relatives,A household in the United States has just obtained a dog. What is the percentage chance that the dog came from each of the following sources? Make sure your answers add up to 100%. - From a breeder,A household in the United States has just obtained a dog. What is the percentage chance that the dog came from each of the following sources? Make sure your answers add up to 100%. - It was a stray dog,A household in the United States has just obtained a dog. What is the percentage chance that the dog came from each of the following sources? Make sure your answers add up to 100%. - Other,A household in the United States has just obtained a cat. What is the percentage chance that the cat came from each of the following sources? Make sure your answers add up to 100%. - From an animal shelter/humane society,A household in the United States has just obtained a cat. What is the percentage chance that the cat came from each of the following sources? Make sure your answers add up to 100%. - From friends/relatives,A household in the United States has just obtained a cat. What is the percentage chance that the cat came from each of the following sources? Make sure your answers add up to 100%. - From a breeder,A household in the United States has just obtained a cat. What is the percentage chance that the cat came from each of the following sources? Make sure your answers add up to 100%. - It was a stray dog,A household in the United States has just obtained a cat. What is the percentage chance that the cat came from each of the following sources? Make sure your answers add up to 100%. - Other,A human being's body is made up of water and other materials. Please guess the answers to the questions below. Make sure your answers add up to 100%. - What percentage of a human being's body is made up of water?,A human being's body is made up of water and other materials. Please guess the answers to the questions below. Make sure your answers add up to 100%. - What percentage of a human being's body is made up of other materials?,A jellyfish's body is made up of water and other materials. Please guess us the answers to the questions below. Make sure your answers add up to 100%. - What percentage of a jellyfish's body is made up of water?,A jellyfish's body is made up of water and other materials. Please guess us the answers to the questions below. Make sure your answers add up to 100%. - What percentage of a jellyfish's body is made up of other materials?,"Previously, you answered questions about how much of a human being's body is made up of water versus other materials. You also answered questions about how much of a jellyfish's body is made up of water versus other materials. Below is information you may use to update your answers to these questions.
The percentage of a jellyfish's body that's made up of water is at least 10 percentage points greater than the percentage of a human being's body that's made up of water.
​Please answer the questions below. For each question, make sure your answers add up to 100%.
Given what you just read, please answer the questions below about the water content in a human being's body. - What percentage of a human being's body is made up of water?","Previously, you answered questions about how much of a human being's body is made up of water versus other materials. You also answered questions about how much of a jellyfish's body is made up of water versus other materials. Below is information you may use to update your answers to these questions.
The percentage of a jellyfish's body that's made up of water is at least 10 percentage points greater than the percentage of a human being's body that's made up of water.
​Please answer the questions below. For each question, make sure your answers add up to 100%.
Given what you just read, please answer the questions below about the water content in a human being's body. - What percentage of a human being's body is made up of other materials?","Given what you have just read, please answer the questions below about the water content in a jellyfish's body. - What percentage of a jellyfish's body is made up of water?","Given what you have just read, please answer the questions below about the water content in a jellyfish's body. - What percentage of a jellyfish's body is made up of other materials?",Planet Earth’s surface is mainly covered by either land or water. Please answer both questions below. Make sure your answers add up to 100%. - What percentage of Earth’s surface is covered by land?,Planet Earth’s surface is mainly covered by either land or water. Please answer both questions below. Make sure your answers add up to 100%. - What percentage of Earth’s surface is covered by water?,"Cake batter has been placed in an oven so that it can bake. According to this recipe, the baking time for this particular cake could be 30 minutes, 40 minutes, 45 minutes, 60 minutes or 75 minutes. Please rank these baking times in order from most likely (1) two least likely (5). - 30 minutes","Cake batter has been placed in an oven so that it can bake. According to this recipe, the baking time for this particular cake could be 30 minutes, 40 minutes, 45 minutes, 60 minutes or 75 minutes. Please rank these baking times in order from most likely (1) two least likely (5). - 40 minutes","Cake batter has been placed in an oven so that it can bake. According to this recipe, the baking time for this particular cake could be 30 minutes, 40 minutes, 45 minutes, 60 minutes or 75 minutes. Please rank these baking times in order from most likely (1) two least likely (5). - 45 minutes","Cake batter has been placed in an oven so that it can bake. According to this recipe, the baking time for this particular cake could be 30 minutes, 40 minutes, 45 minutes, 60 minutes or 75 minutes. Please rank these baking times in order from most likely (1) two least likely (5). - 60 minutes","Cake batter has been placed in an oven so that it can bake. According to this recipe, the baking time for this particular cake could be 30 minutes, 40 minutes, 45 minutes, 60 minutes or 75 minutes. Please rank these baking times in order from most likely (1) two least likely (5). - 75 minutes","As you know, cake batter was placed in an oven. Below is the information you may use to update your ranking of baking times.

Only one egg was used to make the cake batter.

Given this information, please rank the baking times in order from most likely (1) to least likely (5). - 30 minutes","As you know, cake batter was placed in an oven. Below is the information you may use to update your ranking of baking times.

Only one egg was used to make the cake batter.

Given this information, please rank the baking times in order from most likely (1) to least likely (5). - 40 minutes","As you know, cake batter was placed in an oven. Below is the information you may use to update your ranking of baking times.

Only one egg was used to make the cake batter.

Given this information, please rank the baking times in order from most likely (1) to least likely (5). - 45 minutes","As you know, cake batter was placed in an oven. Below is the information you may use to update your ranking of baking times.

Only one egg was used to make the cake batter.

Given this information, please rank the baking times in order from most likely (1) to least likely (5). - 60 minutes","As you know, cake batter was placed in an oven. Below is the information you may use to update your ranking of baking times.

Only one egg was used to make the cake batter.

Given this information, please rank the baking times in order from most likely (1) to least likely (5). - 75 minutes","Five years ago, a movie was released to theaters. According to earnings reports, this movie could've made $100,000, $2 million, $25 million, $100 million, or $200 million. Please rank in order from most likely (1) to least likely (5). - $100,000","Five years ago, a movie was released to theaters. According to earnings reports, this movie could've made $100,000, $2 million, $25 million, $100 million, or $200 million. Please rank in order from most likely (1) to least likely (5). - $2 million","Five years ago, a movie was released to theaters. According to earnings reports, this movie could've made $100,000, $2 million, $25 million, $100 million, or $200 million. Please rank in order from most likely (1) to least likely (5). - $25 million","Five years ago, a movie was released to theaters. According to earnings reports, this movie could've made $100,000, $2 million, $25 million, $100 million, or $200 million. Please rank in order from most likely (1) to least likely (5). - $100 million","Five years ago, a movie was released to theaters. According to earnings reports, this movie could've made $100,000, $2 million, $25 million, $100 million, or $200 million. Please rank in order from most likely (1) to least likely (5). - $200 million",Sea otters hold hands when they fall asleep so that they don’t drift apart.,"Between 1900 and 1920, Tug of War was an olympic event.",Some cats are allergic to humans.,M&Ms (the candy) stands for “Mars & Murrie’s” the last name of the candy’s founders.,"The German word “Kummerspeck” means excess weight gained from emotional overeating. Literally, “grief bacon.”",About one in every 4 million lobsters is born with a genetic mutation that turns it blue instead of the usual red.,Horses can’t vomit.,A typical cloud weighs around 1.1 million pounds.,Which of the following animals can't vomit?,About how much does a typical cloud weigh?,Between which years was Tug of War an Olympic sport?,"What does ""kummerspeck"" mean","What do ""M&Ms"" stand for?",How intelligent do you think person X's statement was?,How accurate do you think person X's statement was?,How fair do you think person X's statement was?,How just do you think person X's statement was?,"Previously, you learned about Person X, who made the following statement: ""Even though the man and the woman both performed surgery, the man is MORE likely to be a doctor than the woman.""
What impression do you have of Person X and/or the statement this person made?",d - What is the percentage chance that the man is the pilot and the woman is the flight attendant?,d - What is the percentage chance that the woman is the pilot and the man is the flight attendant?,"As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess:
The woman recently communicated with air traffic control during a flight.
Once again, please answer both questions below. Make sure your answers add up to 100% - What is the percentage chance that the man is the pilot and the woman is the flight attendant?","As you know, there is a man and a woman. One person is a pilot. The other person is a flight attendant. Below is information you may use to update your guess:
The woman recently communicated with air traffic control during a flight.
Once again, please answer both questions below. Make sure your answers add up to 100% - What is the percentage chance that the woman is the pilot and the man is the flight attendant?","Please guess the answer to the question below. Remember to just tell us what you think! Tell us what you think by clicking on the slider and dragging it to the answer you'd like to give. 
In the United States, what percentage of female pilots communicate with air traffic control during a flight?","Please guess the answer to the question below. Remember to just tell us what you think! Tell us what you think by clicking on the slider and dragging it to the answer you'd like to give. 

In the United States, what percentage of female flight attendants communicate with air traffic control during a flight?","A man recently performed surgery on a patient. 

A woman recently performed surgery on a patient. 
Which of the following statements do you agree with?",How intelligent do you think person X's statement was?,How accurate do you think person X's statement was?,How fair do you think person X's statement was?,How just do you think person X's statement was?,"Previously, you learned about Person X, who made the following statement: ""Even though the man and the woman both performed surgery, the man is MORE likely to be a doctor than the woman."" 
What impression do you have of Person X and/or the statement this person made?","Thank you for participating in this study. We would like to describe the purpose of this study. We are interested in what judgments people make when statistics and morality are both at stake - whether people make the egalitarian or the Bayesian judgment. We would also like to explore the relationship between the type of judgment a person makes and the person's moral evaluation of someone else who makes a Bayesian judgment. We ask that you do not share this information with other potential participants. 
We appreciate your response to the next question. Please be honest when answering. Your answer will not affect your payment or eligibility for future studies.
The study you have just participated in is a psychological study aimed at understanding human cognition and behavior. Psychological research depends on participants like you. Your responses to surveys like this one are an incredibly valuable source of data for researchers. It is therefore crucial for research that participants pay attention, avoid distractions, and take all study tasks seriously (even when they might seem silly).
Do you feel that you paid attention, avoided distractions, and took this survey seriously?","Using Google or another Internet search engine, did you look up any of the answers to the questions we asked you?",What is your age,What is your gender? - Selected Choice,What is your gender? - Other (please indicate) - Text,What is your highest level of education?,"If you have any feedback or constructive comments about the study, please leave it in the space below (if any)"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68_4""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID70_4""}","{""ImportId"":""QID70_5""}","{""ImportId"":""QID70_6""}","{""ImportId"":""QID70_7""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID71_4""}","{""ImportId"":""QID71_5""}","{""ImportId"":""QID71_6""}","{""ImportId"":""QID71_7""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_4""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID73_4""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID74_4""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID75_4""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID76_4""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID77_2""}","{""ImportId"":""QID77_3""}","{""ImportId"":""QID77_4""}","{""ImportId"":""QID77_5""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID78_2""}","{""ImportId"":""QID78_3""}","{""ImportId"":""QID78_4""}","{""ImportId"":""QID78_5""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID79_2""}","{""ImportId"":""QID79_3""}","{""ImportId"":""QID79_4""}","{""ImportId"":""QID79_5""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94_TEXT""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID42""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID59_2""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID66""}","{""ImportId"":""QID37""}","{""ImportId"":""QID36""}","{""ImportId"":""QID32""}","{""ImportId"":""QID35""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID96""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_4_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID24_TEXT""}"
11/17/20 16:33,11/17/20 16:38,0,100,342,1,11/17/20 16:38,R_3RdVjrPo8WXN1Pi,anonymous,EN,,,,,,,,80,61,43,8,30,18,1,26,40,16,11,7,40,60,38,62,52,48,29,71,42,58,1,2,3,4,5,,,,,,1,2,3,4,5,3,4,5,4,6,7,4,3,2,2,2," the weight a person gains during a period of overeating due to unhappiness, depression, grief, or other emotional condition","They named the candy M&M, which stood for “Mars & Murrie",,,,,,29,71,49,51,91,60,2,4,5,6,4,"     Then, researchers attempt to change overall impressions by presenting new statements",7,1,28,2,,23,Nice study.
11/17/20 16:35,11/17/20 16:41,0,100,367,1,11/17/20 16:41,R_2CHgmfgyLPqR4uf,anonymous,EN,,,,,,,,34,18,45,5,37,13,0,41,5,54,0,0,71,29,99,1,70,30,99,1,26,74,4,2,1,3,5,4,2,1,3,5,1,2,3,4,5,2,2,2,2,2,2,2,5,1,2,,don't know,don't know,,,,,,70,30,51,49,100,16,1,2,2,2,2,maybe a little sexist,7,2,26,2,,22,
11/17/20 16:32,11/17/20 16:42,0,100,570,1,11/17/20 16:42,R_r6JM3cp113q4Tnz,anonymous,EN,80,20,95,5,90,10,1,20,30,30,10,50,5,5,20,20,50,5,5,70,30,80,20,70,30,80,20,30,70,4,2,1,3,5,4,2,1,3,5,4,1,2,3,5,6,6,7,5,5,7,6,6,1,2,2,grief bacon,Mars & Murry,1,1,1,1,They're not very good at critical thinking.,,,,,,,,,,,,,7,2,27,1,,19,
11/17/20 16:33,11/17/20 16:42,0,100,533,1,11/17/20 16:42,R_1DqCEvtYPTxw9Kg,anonymous,EN,,,,,,,,80,85,62,10,13,15,0,73,17,10,0,0,69,31,77,23,69,31,82,18,49,51,5,4,3,2,1,5,4,3,2,1,5,4,3,2,1,7,5,5,6,6,6,7,7,1,2,3,weight gain,mars,,,,,,72,28,10,90,100,30,1,7,7,,2,biased,7,2,67,2,,20,
11/17/20 16:36,11/17/20 16:43,0,100,400,1,11/17/20 16:43,R_31KQx1nlaqXnI15,anonymous,EN,74,26,95,5,60,0,1,44,40,61,2,6,28,3,59,0,0,41,0,72,28,96,4,71,29,90,10,21,79,1,2,3,4,5,2,1,3,4,5,2,1,3,4,5,7,6,7,2,7,3,6,7,1,1,2,grief eating,Mark and Murrie,2,1,1,1,They are small minded.,,,,,,,,,,,,,7,2,46,2,,20,
11/17/20 16:35,11/17/20 16:45,0,100,609,1,11/17/20 16:45,R_1jBxIgbwXwmWv1R,anonymous,EN,40,60,21,79,65,54,1,63,41,47,53,0,0,0,17,19,38,26,0,23,77,20,80,33,67,99,1,65,35,2,3,1,5,4,1,2,4,3,5,1,4,5,3,2,5,6,7,6,4,6,6,7,3,2,2,grief bacon,Mars & Murrie,5,6,7,6,he doesnt seem to know what hes doing,,,,,,,,,,,,,7,2,33,1,,22,
11/17/20 16:44,11/17/20 16:51,0,100,421,1,11/17/20 16:51,R_3qVdOVk0lzSOtCp,anonymous,EN,,,,,,,,35,35,20,25,25,24,6,65,25,8,0,2,70,30,70,30,70,30,81,19,20,80,1,4,3,2,5,2,3,4,1,5,4,2,3,1,5,7,5,6,6,6,7,6,6,1,2,2,greif bacon,the last names of the people who started the company,,,,,,84,16,91,9,100,10,1,3,2,2,2,"He may just be telling the truth, but likely is saying it out of hate.",7,2,35,1,,20,
11/17/20 16:47,11/17/20 16:56,0,100,560,1,11/17/20 16:56,R_1HeNekAYRxXQC63,anonymous,EN,65,35,70,30,100,2,3,25,20,50,30,10,10,0,36,37,2,25,0,75,25,92,8,75,25,92,8,26,74,3,1,2,4,5,3,1,2,4,5,3,1,2,4,5,1,1,2,1,1,1,5,6,1,2,2,grief bacon,mars and murrie,4,3,4,4,"I think it is wrong, I think (?) there are more female than male doctors in the US",,,,,,,,,,,,,7,2,48,1,,19,
